7
STRAIGHT, 134, 128
STRAIGHT, 160, 128
CIRCULAR, 160, 205, 180
STRAIGHT, 134, 282
CIRCULAR, 134, 218, 90
STRAIGHT, 70, 192
CIRCULAR, 134, 192, 90


33
211.50, 525.35
230.50, 537.29
243.77, 549.50
255.73, 565.50
265.87, 587.50
270.77, 604.50
270.77, 628.50
266.65, 650.50
258.85, 669.50
246.78, 687.50
232.50, 701.70
217.50, 711.94
197.50, 720.70
178.50, 724.83
153.50, 724.88
134.50, 720.88
115.50, 712.87
100.50, 702.91
83.09, 685.50
73.12, 670.50
65.11, 651.50
61.10, 632.50
61.05, 608.50
65.23, 588.50
71.30, 573.50
84.22, 553.50
98.50, 539.15
114.50, 528.21
132.50, 520.26
155.50, 515.35
173.50, 515.35
195.50, 519.22
211.50, 525.35

SmallCircle.png
1109, 751
