9
STRAIGHT, 1050, 590
STRAIGHT, 1050, 623
CIRCULAR, 950, 623, 90
STRAIGHT, 550, 723
CIRCULAR, 550, 623, 90
STRAIGHT, 450, 120
CIRCULAR, 550, 120, 90
STRAIGHT, 950, 20
CIRCULAR, 950, 120, 90



23
1062.50, 724.78
1069.15, 720.50
1075.65, 713.50
1079.65, 704.50
1080.56, 696.50
1080.56, 48.50
1078.71, 37.50
1072.50, 27.65
1061.50, 20.05
1051.50, 18.00
458.50, 18.00
448.50, 20.26
439.50, 26.10
434.12, 32.50
431.17, 39.50
431.33, 56.50
437.29, 75.50
451.17, 96.50
1023.50, 714.24
1033.50, 722.94
1041.50, 726.85
1050.50, 727.88
1062.50, 724.78

LargeCircle.png
1109, 751
